filename,state,topH,topS,topB,bottomH,bottomS,bottomB
IMG_0490.JPG,clearDawn,220,47,38,311,7,58
IMG_0491.JPG,clearDawn,233,35,19,29,54,92
IMG_0492.JPG,clearDawn,246,29,13,32,52,92
IMG_0493.JPG,clearDawn,240,28,11,23,21,60
IMG_0494.JPG,clearDawn,240,29,14,33,44,91
IMG_0495.JPG,clearMidday,211,51,84,205,16,98
IMG_0496.JPG,clearMidday,213,61,57,209,34,81
IMG_0498.JPG,clearMidday,214,58,57,209,42,75
IMG_0499.JPG,clearMidday,211,47,62,209,27,68
IMG_0500.JPG,clearMidday,211,47,62,209,27,67
IMG_1551.JPG,clearMidday,210,98,76,200,43,100
IMG_1553.JPG,clearMidday,213,84,74,203,30,98
IMG_1555.JPG,clearMidday,207,57,100,202,20,93
IMG_1556.JPG,clearMidday,212,81,60,202,36,76
IMG_1558.JPG,clearSunset,214,15,56,45,12,77
IMG_1559.JPG,clearMidday,213,58,67,198,16,84
IMG_1560.JPG,clearSunset,211,14,93,13,27,89
IMG_1561.JPG,clearSunset,215,32,83,18,30,82
IMG_1562.JPG,clearSunset,211,21,91,1,24,87
IMG_1563.JPG,clearSunset,220,4,85,355,17,84
IMG_1564.JPG,clearSunset,224,24,70,24,37,83
IMG_1565.JPG,clearDusk,230,45,32,250,15,60
IMG_1566.JPG,clearNight,248,57,5,250,50,14
IMG_1568.JPG,clearNight,210,25,3,120,1,28
IMG_1569.JPG,clearNight,60,13,3,80,6,20
IMG_1570.JPG,clearNight,240,20,4,60,5,25
IMG_1571.JPG,clearNight,240,29,3,300,27,9
IMG_1572.JPG,clearMidday,211,95,73,205,60,100
IMG_1573.JPG,clearMidday,214,85,61,203,48,100
IMG_1574.JPG,clearMidday,215,62,69,207,41,88
IMG_1587.JPG,clearSunset,209,12,77,5,27,71
IMG_1588.JPG,clearSunset,215,28,66,25,39,78
IMG_1589.JPG,clearSunset,214,31,58,48,13,85
IMG_1590.JPG,clearDusk,214,33,58,215,28,74
IMG_1591.JPG,clearSunset,218,100,41,33,36,91
IMG_1592.JPG,clearSunset,225,51,54,27,52,94
IMG_1593.JPG,clearSunset,230,47,47,39,39,98
IMG_1594.JPG,clearSunset,218,59,44,37,25,71
IMG_1595.JPG,clearSunset,227,43,50,31,49,91
IMG_1596.JPG,clearSunset,227,33,51,30,13,80
IMG_1597.JPG,clearSunset,221,27,62,39,29,96
IMG_1599.JPG,clearSunset,218,84,34,37,43,87
IMG_1601.JPG,clearMidday,214,77,68,211,36,97
IMG_1602.JPG,clearMidday,213,79,70,212,35,95
IMG_1603.JPG,clearMidday,214,57,74,210,33,79
